Adv Name,Industry,Campaign Name,Total Impressions,Total Clicks,Total Revenue,Month
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",34614391,4706,17696,Sep'22
PlayerZpot,Gaming,OF-16679_Playerzpot_HomeATF_Reward,2935336,8063,42854,Sep'22
GRT Jewels,Offline Retail,OF-16473_GRTJewels_HomeMastHead_CPC_8,1329134,3420,21957,Sep'22
FK Healthcare,e-Commerce,OF-16809_FK_Healthcare_HomeATF_Rewards,5120695,5474,122885,Sep'22
Netmeds,Health & wellness,OF-16836_Netmed_HomeATF-Rewards,2053143,6812,97536,Sep'22
Netmeds,Health & wellness,OF-16836_Netmed_HomeATF-Rewards,2040893,2037,96954,Sep'22
AU Bank - SA,BFSI,OF-16618_AUBank_HomeBTF/Rewards/Wealth,3610404,8287,44738,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",31060493,4216,15853,Sep'22
Hindustan University,Edtech,OF-16850_HindustanUniversity_MMBTF/PT_CPM,176597,1281,10058,Sep'22
Playerzpot,Gaming,OF-16679_Playerzpot_HomeATF_Reward,1972689,7224,38395,Sep'22
KFC,FnB,OF-17045_KFC_HomeATF_CPM,908648,4382,49607,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",1499743,4124,15508,Sep'22
PayTM First Games,Gaming,OF-16883_PaytmFirstGames_HBTF/Reward/MMBTF/CB_CPC8,19969825,2638,16261,Sep'22
Playerzpot,Gaming,OF-16679_Playerzpot_HomeATF_Reward,1630780,6874,36534,Sep'22
Spartan_Poker,Gaming,OF-16637_Spartan_Poker_HomeBTF_Rewards_CB,186772528,20539,118562,Sep'22
AU Bank - SA,BFSI,OF-16618_AUBank_HomeBTF/Rewards/Wealth,3182778,7725,41704,Sep'22
Playerzpot,Gaming,OF-16679_Playerzpot_HomeATF_Reward,2498282,6648,35333,Sep'22
Spartan_Poker,Gaming,OF-16637_Spartan_Poker_HomeBTF_Rewards_CB,29619460,19987,115375,Sep'22
Rummy Circle,Gaming,OF-16525_RummyCircle_HomeATF,4508425,3097,14071,Sep'22
Playerzpot,Gaming,OF-16679_Playerzpot_HomeATF_Reward,1533655,6529,34701,Sep'22
IDFC_First,BFSI,"OF-16532_SokratiIDFCSavings_HomeBTF,Reward,CB,MMBTF_CPC4",526565,3720,13988,Sep'22
Bajaj,BFSI,"OF-16497_BajajFinservInstaEMIcard_Reward,MMBTF_CPC4",451492,2926,7390,Sep'22
Kotak 811,BFSI,OF-16512_Kotak811_HomeBTF/Rewards,1808993,2773,8459,Sep'22
OLX Auto,"Commute, Travel & Hospitality","OF-16736_OLXAuto_HomeATF,BTF,CB,PT",506401,5223,28681,Sep'22
